slug,linkedin_url,raw_file
kathrynfinney,https://www.linkedin.com/in/kathrynfinney/,kathrynfinney.txt
lauren-kane,https://www.linkedin.com/in/lauren-kane/,lauren-kane.txt
sarrison,https://www.linkedin.com/in/sarrison/,sarrison.txt
shalanda-armstrong-a71b7a34,https://www.linkedin.com/in/shalanda-armstrong-a71b7a34/,shalanda-armstrong-a71b7a34.txt
shelleyzhuang,https://www.linkedin.com/in/shelleyzhuang/,shelleyzhuang.txt
carmenpalafox,https://www.linkedin.com/in/carmenpalafox/,carmenpalafox.txt
chi-achebe,https://www.linkedin.com/in/chi-achebe/,chi-achebe.txt
laurenkolodny,https://www.linkedin.com/in/laurenkolodny/,laurenkolodny.txt
geeta-vemuri-24849b105,https://www.linkedin.com/in/geeta-vemuri-24849b105/,geeta-vemuri-24849b105.txt
shallyshanker,https://www.linkedin.com/in/shallyshanker/,shallyshanker.txt
emilymcmahan,https://www.linkedin.com/in/emilymcmahan/,emilymcmahan.txt
marisawarren,https://www.linkedin.com/in/marisawarren/,marisawarren.txt
jodijahic,https://www.linkedin.com/in/jodijahic/,jodijahic.txt
allison-pickens,https://www.linkedin.com/in/allison-pickens/,allison-pickens.txt
crystal-mckellar-08562a3,https://www.linkedin.com/in/crystal-mckellar-08562a3/,crystal-mckellar-08562a3.txt
annagarciavc,https://www.linkedin.com/in/annagarciavc/,annagarciavc.txt
carli-sapir,https://www.linkedin.com/in/carli-sapir/,carli-sapir.txt
triciablack,https://www.linkedin.com/in/triciablack/,triciablack.txt
holly-neiweem-3129a53,https://www.linkedin.com/in/holly-neiweem-3129a53/,holly-neiweem-3129a53.txt
shrutigandhi,https://www.linkedin.com/in/shrutigandhi/,shrutigandhi.txt
jennifer-scott-fonstad-61550850,https://www.linkedin.com/in/jennifer-scott-fonstad-61550850/,jennifer-scott-fonstad-61550850.txt
jessicarobinson,https://www.linkedin.com/in/jessicarobinson/,jessicarobinson.txt
maggiesprenger,https://www.linkedin.com/in/maggiesprenger/,maggiesprenger.txt
sonaliav,https://www.linkedin.com/in/sonaliav/,sonaliav.txt
jessica-wen,https://www.linkedin.com/in/jessica-wen/,jessica-wen.txt
trishcostello1,https://www.linkedin.com/in/trishcostello1/,trishcostello1.txt
christinetsai,https://www.linkedin.com/in/christinetsai/,christinetsai.txt
lisayu,https://www.linkedin.com/in/lisayu/,lisayu.txt
joellekayden,https://www.linkedin.com/in/joellekayden/,joellekayden.txt
jessicaverrilli,https://www.linkedin.com/in/jessicaverrilli/,jessicaverrilli.txt
karla-mora-9295924a,https://www.linkedin.com/in/karla-mora-9295924a/,karla-mora-9295924a.txt
toanhuynh,https://www.linkedin.com/in/toanhuynh/,toanhuynh.txt
ariel-ganz,https://www.linkedin.com/in/ariel-ganz/,ariel-ganz.txt
sharonvosmek,https://www.linkedin.com/in/sharonvosmek/,sharonvosmek.txt
katelyndonnelly,https://www.linkedin.com/in/katelyndonnelly/,katelyndonnelly.txt
addielernerkatz,https://www.linkedin.com/in/addielernerkatz/,addielernerkatz.txt
anuhariharan,https://www.linkedin.com/in/anuhariharan/,anuhariharan.txt
sandhyavenkatachalam,https://www.linkedin.com/in/sandhyavenkatachalam/,sandhyavenkatachalam.txt
arlanhamilton,https://www.linkedin.com/in/arlanhamilton/,arlanhamilton.txt
lisacarmenwang,https://www.linkedin.com/in/lisacarmenwang/,lisacarmenwang.txt
alana-viana-9ba418239,https://www.linkedin.com/in/alana-viana-9ba418239/,alana-viana-9ba418239.txt
lanxuezhao,https://www.linkedin.com/in/lanxuezhao/,lanxuezhao.txt
slyne,https://www.linkedin.com/in/slyne/,slyne.txt
brynnekennedy,https://www.linkedin.com/in/brynnekennedy/,brynnekennedy.txt
paigedoherty,https://www.linkedin.com/in/paigedoherty/,paigedoherty.txt
marywheelermbaphd,https://www.linkedin.com/in/marywheelermbaphd/,marywheelermbaphd.txt
michelleadetwiler,https://www.linkedin.com/in/michelleadetwiler/,michelleadetwiler.txt
etanghal,https://www.linkedin.com/in/etanghal/,etanghal.txt
gabiz,https://www.linkedin.com/in/gabiz/,gabiz.txt
laurenabda,https://www.linkedin.com/in/laurenabda/,laurenabda.txt
marygrove,https://www.linkedin.com/in/marygrove/,marygrove.txt
annieluchsinger,https://www.linkedin.com/in/annieluchsinger/,annieluchsinger.txt
lindy-morris-fishburne-076157,https://www.linkedin.com/in/lindy-morris-fishburne-076157/,lindy-morris-fishburne-076157.txt
lenorechampagnebeirne,https://www.linkedin.com/in/lenorechampagnebeirne/,lenorechampagnebeirne.txt
katerinastroponiati,https://www.linkedin.com/in/katerinastroponiati/,katerinastroponiati.txt
tessaflippin,https://www.linkedin.com/in/tessaflippin/,tessaflippin.txt
cindyxbi,https://www.linkedin.com/in/cindyxbi/,cindyxbi.txt
